#NGC,Name,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0
NGC104,47Tuc,-0.76,11.75,0.25,V,14,11.50–11.75,-0.99,7.4,-9.42,54.8,5.061
NGC288,XXXX,-1.32,11.50,0.38,H,24,,0.98,12.0,-6.75,10.9,2.953
NGC362,XXXX,-1.30,10.75,0.25,V,13,10.75–11.00,-0.87,9.4,-8.43,44.4,4.938
NGC1261,XXXX,-1.27,10.75,0.25,V,13,10.75–11.25,-0.71,18.1,-7.80,23.6,3.913
NGC1851,XXXX,-1.18,11.00,0.25,V,13,10.75–11.25,-0.32,16.6,-8.33,47.6,5.136
NGC2808,XXXX,-1.18,11.00,0.38,V,13,11.00–11.25,-0.49,11.1,-9.39,62.4,5.070
NGC3201,XXXX,-1.51,11.50,0.38,A,12-30,11.25–11.75,0.08,8.8,-7.45,17.9,3.599
NGC4147,XXXX,-1.78,12.25,0.25,V,11,12.25–12.50,0.66,21.4,-6.17,14.2,3.886
NGC4590,M68,-2.27,12.00,0.25,V,11,12.00,0.17,10.2,-7.37,16.9,3.559
NGC4833,XXXX,-1.89,12.50,0.50,A,30,,0.93,7.0,-8.17,25.0,3.885
NGC5024,M53,-2.06,12.25,0.25,V,12,12.25–12.50,0.81,18.4,-8.71,25.8,3.866
NGC5053,XXXX,-2.30,12.25,0.38,A,12,12.25–12.50,0.52,17.8,-6.76,7.2,2.196
NGC5272,M3,-1.50,11.75,0.25,V,22,,0.08,12.0,-8.88,32.1,4.254
NGC5286,XXXX,-1.70,12.50,0.38,A,12-30,11.75–12.25,0.80,8.9,-8.74,42.7,4.628
NGC5466,XXXX,-2.31,12.50,0.25,V,11-30,12.25–12.50,0.58,16.3,-6.98,8.6,2.453
NGC5904,M5,-1.33,11.50,0.25,V,8,11.50–11.75,0.31,6.2,-8.81,37.0,4.457
NGC5927,XXXX,-0.29,10.75,0.38,V,16,10.50–10.75,-1.00,4.6,-7.81,25.4,4.156
NGC5986,XXXX,-1.63,12.25,0.75,A,30,,0.97,4.8,-8.44,33.1,4.259
NGC6101,XXXX,-1.98,12.25,0.50,H,30,,0.84,11.2,-6.94,11.8,2.980
NGC6121,M4,-1.18,11.50,0.38,V,13,11.25–11.50,-0.06,5.9,-7.19,20.8,4.070
NGC6144,XXXX,-1.82,12.75,0.50,H,30,,1.00,2.7,-6.85,10.4,2.975
NGC6171,M107,-1.03,12.00,0.75,V,13,,-0.73,3.3,-7.12,18.2,3.832
NGC6205,M13,-1.58,12.00,0.38,A,20-22,,0.97,8.4,-8.56,31.7,4.219
NGC6218,M12,-1.33,13.00,0.50,A,24-26,,0.98,4.5,-7.31,21.2,3.961
NGC6254,M10,-1.57,11.75,0.38,H,30,,0.98,4.6,-7.48,23.9,4.112
NGC6304,XXXX,-0.37,11.25,0.38,V,16,11.00–11.25,-1.00,2.3,-7.30,28.8,4.656
NGC6341,M92,-2.35,12.75,0.25,V,11,12.75–13.25,0.91,9.6,-8.21,35.8,4.618
NGC6352,XXXX,-0.62,10.75,0.38,V,16,10.50–11.00,-1.00,3.3,-6.47,14.6,3.592
NGC6362,XXXX,-1.07,12.50,0.25,V,13,12.25–12.75,-0.58,5.1,-6.95,13.5,3.261
NGC6366,XXXX,-0.59,11.00,0.50,V,16,11.00,-0.97,5.0,-5.74,9.8,3.135
NGC6397,XXXX,-1.99,13.00,0.25,A,30,13.00,0.98,6.0,-6.64,35.9,5.759
NGC6496,XXXX,-0.46,10.75,0.38,V,16,10.50–10.75,-1.00,4.2,-7.20,16.7,3.459
NGC6535,XXXX,-1.79,12.75,0.50,V,32,,1.00,3.9,-4.75,8.2,3.327
NGC6541,XXXX,-1.82,12.50,0.50,H,30,,1.00,2.1,-8.52,46.3,5.019
NGC6584,XXXX,-1.50,11.75,0.25,A,12-30,,-0.15,7.0,-7.69,24.7,4.112
NGC6624,XXXX,-0.42,11.25,0.50,V,16,11.00–11.25,-1.00,1.2,-7.49,26.2,4.869
NGC6637,M69,-0.59,11.00,0.38,V,16,11.00–11.25,-1.00,1.7,-7.64,27.7,4.308
NGC6652,XXXX,-0.76,11.25,0.25,V,16,11.00–11.25,-1.00,2.7,-6.66,23.9,4.583
NGC6656,M22,-1.70,12.50,0.50,H,30,,0.91,4.9,-8.50,33.9,4.311
NGC6681,M70,-1.62,12.75,0.38,A,30-32,,0.96,2.2,-7.12,29.3,5.210
NGC6715,M54,-1.44,11.75,0.50,V,32,,0.54,18.9,-9.98,59.7,4.968
NGC6717,XXXX,-1.26,12.50,0.50,V,13,,0.98,2.4,-5.66,16.3,4.458
NGC6723,XXXX,-1.10,12.50,0.25,V,13,12.25–12.75,-0.08,2.6,-7.83,21.9,3.755
NGC6752,XXXX,-1.55,12.50,0.25,A,30,,1.00,5.2,-7.73,24.5,4.655
NGC6779,M56,-2.00,12.75,0.50,H,30,,0.98,9.2,-7.41,20.8,3.905
NGC6809,M55,-1.93,13.00,0.25,A,12-30,12.75–13.25,0.87,3.9,-7.57,18.3,3.515
NGC6838,M71,-0.82,11.00,0.38,V,16,11.00,-1.00,6.7,-5.61,13.0,3.746
NGC6934,XXXX,-1.56,11.75,0.25,V,12-30,11.50–12.00,0.25,12.8,-7.45,21.6,3.998
NGC6981,M72,-1.48,11.50,0.25,V,12-30,11.25–11.75,0.14,12.9,-7.04,13.9,3.304
NGC7078,M15,-2.33,12.75,0.25,V,11,12.50–12.75,0.67,10.4,-9.19,41.6,4.827
NGC7089,M2,-1.66,11.75,0.25,A,12-30,11.50–11.75,0.92,10.4,-9.03,41.8,4.531
NGC7099,M30,-2.33,13.00,0.25,A,11-30,12.75–13.00,0.89,7.1,-7.45,25.4,4.831
Arp21,Arp21,-1.74,12.00,0.38,V,32,,0.53,21.4,-5.29,3.5,1.545
Palomar12,Pal12,-0.81,9.0,0.38,V,32,,-1.00,15.8,-4.47,4.3,3.297
Terzan8,Ter8,-2.34,13.00,0.38,V,32,,1.00,19.4,-5.07,4.3,1.938